,blockPlayer,totalRushPlayers,totalPlays,totalWinsAllowed,totalHitsAllowed,totalHurriesAllowed,totalSacksAllowed,averageNumRusher,average_epa,displayName,team,officialPosition,height,weight,HandSize,ArmLength,40Yard,BenchPress,VertLeap,BroadJump,Shuttle,3Cone,defWin,defHit,defHurry,defSack,playCount,epa,actualSCRT,average_distance,average_gos,max_speed,max_accel,predictedSCRT,delta
12,52421,249.5,289,6,1,6,1,0.807443366,0.275729265,Tristan Wirfs,TB,T,77,322,10.25,34,4.85,24,36.5,121,4.68,7.65,6,1,6,1,309,85.20034292,-0.010380623,5.024346736,4.510250348,11.84397368,10.9799756,-0.024053924,0.013673301
36,47805,144,156,3,0,14,1,0.894409938,0.257315638,Andre Dillard,PHI,T,77,315,10,33.5,4.96,24,29,118,4.4,7.44,3,0,14,1,161,-10.48100105,-0.015673077,4.652625576,4.917548424,11.4299746,8.9099802,-0.027761054,0.012087977
50,46084,230,257,10,1,11,0,0.871212121,0.284962365,Kolton Miller,LV,T,80,325,10.75,34.125,4.91,24,31.5,121,4.49,7.34,10,1,11,0,264,59.79385515,-0.017490272,5.027517322,5.043628612,9.41397908,12.47397228,-0.029042748,0.011552476
18,37213,82.5,99,2,0,4,1,0.778301887,0.278167749,Marcus Cannon,HOU,T,78,335,9.13,34,5.26,33,30.5,105,4.97,8.07,2,0,4,1,106,3.39889926,-0.012020202,5.18899649,4.638154358,9.07197984,9.0899798,-0.023349285,0.011329083
96,44832,239,274,10,4,8,5,0.84751773,0.284962365,Garett Bolles,DEN,T,77,300,9.38,34,4.95,0,28,115,4.55,7.29,10,4,8,5,282,49.79714088,-0.023394161,4.436129844,4.863601378,8.4599812,11.80797376,-0.032728893,0.009334732
0,42476,65.5,103,1,0,2,0,0.564655172,0.257315638,Max Garcia,ARI,C,76,309,10.25,33.13,5.24,30,28,103,5.12,8.18,1,0,2,0,116,45.94664825,-0.004805825,6.228484438,3.551079065,10.02597772,8.17198184,-0.014121405,0.00931558
19,37082,181,207,5,1,4,1,0.811659193,0.278329396,Tyron Smith,DAL,T,77,320,11,36.38,5.08,29,29,109,4.68,7.47,5,1,4,1,223,62.06745539,-0.012101449,5.51084135,4.318479347,9.75597832,9.55797876,-0.020879617,0.008778168
2,46679,118.5,176,1,0,4,1,0.623684211,0.364544165,Evan Brown,DET,C,74,302,10,32.5,5.03,36,36,113,4.46,7.87,1,0,4,1,190,-40.12303127,-0.005028409,5.091448268,4.086941065,7.39798356,8.80198044,-0.013779722,0.008751313
79,52507,111.5,139,6,1,5,1,0.758503401,0.257315638,Matt Peart,NYG,T,79,303,9.5,36.63,5.06,26,30,113,4.92,8.01,6,1,5,1,147,-10.6410181,-0.020899281,5.466417454,4.620351514,9.52197884,10.2599772,-0.028763489,0.007864208
11,42348,79,109,2,0,5,0,0.699115044,0.275729265,Brandon Scherff,WAS,G,77,315,11,33.38,5.05,23,32.5,107,4.57,7.18,2,0,5,0,113,7.762967268,-0.009954128,5.231091584,4.006004774,11.26797496,9.28797936,-0.017805214,0.007851086
3,41264,168,233,2,0,6,1,0.674698795,0.275729265,Joel Bitonio,CLE,G,76,320,9.63,33.88,4.97,22,32,113,4.44,7.37,2,0,6,1,249,-10.72816707,-0.005922747,6.189354855,4.075394169,10.40397688,13.049971,-0.013239482,0.007316735
70,42377,259,292,12,2,12,1,0.846405229,0.278167749,Donovan Smith,TB,T,78,338,10.63,34.38,5.27,26,32,109,4.79,7.95,12,2,12,1,306,85.11933128,-0.019863014,4.908106745,4.525591547,9.7199784,14.2199684,-0.026865303,0.007002289
85,41324,75.5,106,5,1,2,1,0.69266055,0.269975984,Michael Schofield,LAC,G,78,301,9.63,34,5.01,0,24,92,4.57,7.62,5,1,2,1,109,9.314542215,-0.021839623,5.189853914,3.798156697,9.91797796,10.42197684,-0.028765797,0.006926174
32,46119,178,245,9,0,8,1,0.681992337,0.284962365,Connor Williams,DAL,G,77,298,10.5,33,5.05,26,34,112,4.63,7.83,9,0,8,1,261,67.15938156,-0.015122449,5.55559937,3.536897735,10.00797776,10.65597632,-0.021931804,0.006809355
7,38557,179.5,241,4,0,10,0,0.69844358,0.284962365,Kevin Zeitler,BAL,G,76,315,10.25,32.75,5.32,32,29,101,4.61,7.77,4,0,10,0,257,32.68630741,-0.009004149,5.964613084,3.70572727,9.93597792,10.27797716,-0.015805702,0.006801553
83,30869,180,208,10,2,5,1,0.829493088,0.284962365,Andrew Whitworth,LA,T,79,330,10.13,35,5.17,28,30.5,112,4.83,8.23,10,2,5,1,217,85.79826834,-0.021754808,5.548067298,4.951511195,8.71198064,12.7799716,-0.028503241,0.006748433
25,47861,66.5,104,3,0,5,0,0.573275862,0.278167749,Michael Deiter,MIA,C,78,310,10.75,33.13,5.23,21,28,105,4.81,7.88,3,0,5,0,116,-6.087483622,-0.013365385,5.385816814,3.855406452,8.15398188,7.88398248,-0.020113158,0.006747773
87,41237,160,181,6,3,6,2,0.879120879,0.257315638,Taylor Lewan,TEN,T,79,309,9.25,33.88,4.87,29,30.5,116,4.49,7.39,6,3,6,2,182,6.772611948,-0.022099448,5.081890741,4.508804646,10.11597752,8.08198204,-0.028802861,0.006703413
15,46089,78,121,2,1,3,0,0.573529412,0.278167749,Frank Ragnow,DET,C,77,311,9.38,33.13,4.99,26,33.5,115,4.51,8.04,2,1,3,0,136,5.50174318,-0.010702479,5.720809088,4.303535213,9.10797976,11.9699734,-0.017292165,0.006589686
8,43367,219.5,303,6,0,10,0,0.647492625,0.275729265,Joe Thuney,KC,G,77,308,9.63,32.25,4.95,28,28.5,110,4.54,7.47,6,0,10,0,339,68.64830891,-0.009174917,5.915204895,3.209117398,9.64797856,11.9699734,-0.015706564,0.006531647
69,52412,149.5,166,5,3,6,0,0.90060241,0.275729265,Andrew Thomas,NYG,T,77,326,10.25,36.13,5.22,21,30.5,109,4.66,7.58,5,3,6,0,166,29.52373982,-0.019849398,5.352883276,4.414475404,8.74798056,10.02597772,-0.026041865,0.006192467
29,43510,97,138,3,2,3,0,0.678321678,0.257315638,Ted Karras,NE,C,76,305,9.5,32.5,5.34,32,26.5,106,4.7,8.15,3,2,3,0,143,21.41214913,-0.014492754,5.447621283,3.578667096,10.1699774,6.60598532,-0.020278013,0.005785259
13,37266,145,235,4,0,11,1,0.568627451,0.269975984,Jason Kelce,PHI,C,75,295,9.5,32.5,4.89,0,30.5,110,4.14,7.22,4,0,11,1,255,27.39034771,-0.010489362,5.657832051,4.343688283,10.78197604,8.99998,-0.016214847,0.005725485
17,39965,151,208,3,1,12,0,0.69266055,0.284962365,Justin Pugh,ARI,G,77,311,10.25,32.08,5.14,22,28.5,103,4.63,7.45,3,1,12,0,218,66.42215941,-0.011802885,6.14688634,3.191943664,9.449979,9.68397848,-0.017358531,0.005555646
80,46163,216.5,296,11,4,9,2,0.700647249,0.275729265,Alex Cappa,TB,G,78,305,9.25,32.63,5.39,24,26.5,97,4.84,8.04,11,4,9,2,309,85.20034292,-0.02097973,5.262648674,3.421064772,8.0099822,9.68397848,-0.025968626,0.004988896
10,42392,142.5,231,4,0,9,1,0.567729084,0.284962365,Mitch Morse,BUF,C,78,305,9.25,32.25,5.14,36,31,112,4.5,7.6,4,0,9,1,251,58.17790035,-0.009848485,5.724523673,3.727483502,9.77397828,10.799976,-0.014698442,0.004849957
56,40023,105.5,120,2,2,8,0,0.830708661,0.278167749,Terron Armstead,NO,T,77,304,9.25,34.08,4.71,31,34.5,112,4.72,7.62,2,2,8,0,127,15.9879101,-0.018083333,5.945981489,4.615147224,9.2699794,9.03597992,-0.022885333,0.004802
84,39950,116,132,5,1,10,0,0.878787879,0.257315638,Lane Johnson,PHI,T,78,317,10.13,35.28,4.72,28,34,118,4.52,7.31,5,1,10,0,132,24.10347457,-0.021780303,4.810155056,4.750712583,8.76598052,9.34197924,-0.026547617,0.004767314
131,42400,214.5,244,15,4,4,1,0.861445783,0.257315638,Rob Havenstein,LA,T,80,328,9.88,33.75,5.46,16,28.5,96,4.87,8.28,15,4,4,1,249,99.77726765,-0.027684426,6.237516112,4.723912947,9.41397908,13.39197024,-0.032404563,0.004720137
22,46284,156.5,239,5,1,8,2,0.618577075,0.257315638,Bradley Bozeman,BAL,C,77,317,9.75,31.25,5.46,27,24,97,5.17,8.25,5,1,8,2,253,38.31448524,-0.01290795,6.27257783,3.774389203,10.81797596,10.09797756,-0.017619478,0.004711528
106,45069,147,209,9,3,12,0,0.671232877,0.275729265,Daniel Brunskill,SF,G,77,260,9.88,33.88,5.2,17,28,106,4.84,7.9,9,3,12,0,219,43.77259907,-0.024330144,5.479551122,3.907669736,8.74798056,10.8899758,-0.028994451,0.004664307
24,47797,192.5,277,7,2,8,0,0.666089965,0.284962365,Chris Lindstrom,ATL,G,76,307,9.5,34.13,4.91,25,30.5,117,4.54,7.61,7,2,8,0,289,24.5011777,-0.01333935,5.399179838,4.079140444,10.11597752,8.65798076,-0.017785827,0.004446477
63,47952,171.5,235,9,1,11,1,0.683266932,0.278329396,David Edwards,LA,G,78,308,9.75,33.38,5.28,16,25.5,99,4.77,7.69,9,1,11,1,251,97.3040277,-0.018680851,5.720315999,3.599909853,10.20597732,11.26797496,-0.023109676,0.004428825
21,42404,215,292,8,0,11,1,0.702614379,0.278167749,Ali Marpet,TB,G,76,307,10,33.38,4.98,30,30.5,108,4.47,7.33,8,0,11,1,306,85.11933128,-0.012619863,5.245061201,3.516970794,11.71797396,13.2299706,-0.016708083,0.00408822
73,41232,244.5,281,13,2,7,1,0.846020761,0.269975984,Jake Matthews,ATL,T,77,309,9.88,33.38,5.07,24,30.5,104,4.47,7.34,13,2,7,1,289,24.5011777,-0.020035587,5.376677949,4.886701209,9.10797976,13.51796996,-0.024115406,0.004079819
120,46275,90.5,100,4,2,4,1,0.896039604,0.257315638,Matt Pryor,IND,T,79,332,11.5,35.5,5.6,23,24.5,96,4.9,7.87,4,2,4,1,101,31.89233711,-0.026,5.33383629,4.431876515,9.10797976,9.6299786,-0.029972737,0.003972737
64,44875,227,247,8,3,10,1,0.900793651,0.364544165,Dion Dawkins,BUF,T,77,320,9.88,35,5.11,26,26,106,4.78,7.3,8,3,10,1,252,59.46027497,-0.019392713,5.61857888,4.644480588,9.66597852,8.83798036,-0.023250583,0.00385787
39,41321,152.5,206,8,0,7,1,0.66017316,0.257315638,Trai Turner,PIT,G,75,315,9.5,34,4.93,25,27.5,102,4.77,8.16,8,0,7,1,231,8.877270385,-0.016043689,4.870837833,3.677185504,8.38798136,7.90198244,-0.019836727,0.003793038
62,43384,134,192,5,2,9,2,0.650485437,0.269975984,Graham Glasgow,DEN,G,78,310,10.75,33.63,5.13,23,25,106,4.63,7.63,5,2,9,2,206,44.41973798,-0.018645833,4.869173031,3.923987308,8.76598052,10.54797656,-0.022324398,0.003678565
68,46302,150,165,5,1,10,2,0.877192982,0.278329396,Jordan Mailata,PHI,T,80,344,0,0,5.12,22,0,0,0,6.76,5,1,10,2,171,32.73355089,-0.019848485,5.055743403,5.010865488,10.76397608,11.03397548,-0.023480631,0.003632146
82,35443,144.5,164,6,3,5,0,0.825714286,0.278167749,Trent Williams,SF,T,77,320,9.75,34.25,4.81,23,34.5,113,4.63,7.64,6,3,5,0,175,50.67630625,-0.021371951,5.097922319,4.812872497,8.7299806,16.90196244,-0.024886074,0.003514123
41,42371,148.5,203,8,1,5,0,0.678082192,0.275729265,Laken Tomlinson,SF,G,75,312,10.13,33.63,5.33,25,31.5,103,4.87,8.17,8,1,5,0,219,43.77259907,-0.016330049,5.278234718,3.920095367,9.46797896,14.90396688,-0.019738665,0.003408616
9,34472,124.5,201,4,1,1,1,0.571100917,0.278167749,Alex Mack,SF,C,76,311,10.75,33,5.17,20,28.5,106,4.75,7.31,4,1,1,1,218,44.3295121,-0.009527363,5.489926338,4.513434272,10.349977,7.21798396,-0.012824145,0.003296782
42,48235,152,239,9,1,8,0,0.575757576,0.257315638,Andre James,LV,C,76,300,10,32,5.32,21,29,105,4.84,8,9,1,8,0,264,59.79385515,-0.016338912,5.133437475,4.104354861,7.8299826,9.899978,-0.01957639,0.003237478
74,41475,252.5,287,10,2,14,3,0.847315436,0.278167749,Charles Leno,WAS,T,75,305,10.13,34.38,5.21,21,29,108,4.4,7.57,10,2,14,3,298,-0.899661267,-0.020139373,5.382330276,4.880513037,11.55597432,13.01397108,-0.02333452,0.003195147
5,37130,83,130,3,0,0,0,0.58041958,0.257315638,Rodney Hudson,ARI,C,74,315,9.38,32.5,5.27,27,25.5,95,4.96,8.03,3,0,0,0,143,40.76212392,-0.007038462,6.374952385,3.778608761,9.57597872,7.77598272,-0.00975659,0.002718128
16,41310,149,215,4,0,13,0,0.639484979,0.284962365,Gabe Jackson,SEA,G,75,336,10,33.75,5.34,30,29,108,4.78,8.25,4,0,13,0,233,40.04306983,-0.011418605,5.524056278,3.999121548,9.91797796,9.1799796,-0.014038324,0.002619719
145,44846,227.5,252,12,5,18,1,0.861742424,0.283821189,Cam Robinson,JAX,T,78,320,10.5,35.5,5.15,0,26,106,4.82,7.81,12,5,18,1,264,-7.654803396,-0.030039683,5.513486648,4.815225313,8.24398168,8.62198084,-0.032509696,0.002470013
137,46152,295,324,13,9,11,3,0.87020649,0.275729265,Orlando Brown,KC,T,80,345,9.75,35,5.85,14,19.5,82,5.38,7.87,13,9,11,3,339,68.64830891,-0.028425926,5.509853372,4.436811012,9.5399788,8.65798076,-0.030452981,0.002027055
58,41293,97,152,5,1,7,1,0.554285714,0.278167749,Justin Britt,HOU,C,78,315,10.25,33.5,5.19,23,23,99,4.69,8.14,5,1,7,1,175,0.8806185,-0.018355263,5.346663771,3.89535498,9.37797916,9.39597912,-0.020135817,0.001780554
110,53480,129,144,6,2,8,1,0.871621622,0.278167749,Samuel Cosmi,WAS,T,77,295,10.25,33,4.87,36,30,117,4.39,7.35,6,2,8,1,148,20.62163668,-0.024930556,4.74975658,5.121610661,8.4599812,17.47796116,-0.026197172,0.001266616
78,47824,165,236,9,3,8,1,0.673469388,0.257315638,Dalton Risner,DEN,G,77,312,10.25,34,5.3,23,28.5,110,4.52,7.69,9,3,8,1,245,57.21168865,-0.020783898,4.733462358,3.753108543,12.79797156,7.14598412,-0.021943003,0.001159105
128,47814,210.5,245,12,4,11,2,0.838645418,0.257315638,Kaleb McGary,ATL,T,78,306,10.25,32.875,5.05,23,33.5,111,4.58,7.66,12,4,11,2,251,11.6358447,-0.027367347,5.279812734,4.937502719,10.6199764,12.09597312,-0.028447875,0.001080528
4,41390,145.5,250,4,0,4,0,0.531021898,0.446325353,Corey Linsley,LAC,C,75,301,9.88,32,5.24,36,27,107,4.53,7.46,4,0,4,0,274,37.22416075,-0.0064,5.919783865,4.032383647,10.31397708,14.399968,-0.007380313,0.000980313
114,44876,247.5,284,16,2,16,0,0.841836735,0.270168438,Taylor Moton,CAR,T,77,325,10.63,34.13,5.18,23,30.5,109,4.58,7.73,16,2,16,0,294,-8.405300201,-0.025352113,4.835695552,4.760193503,9.64797856,13.21197064,-0.026131045,0.000778932
94,43447,142,164,6,2,8,2,0.816091954,0.257315638,Brandon Shell,SEA,T,77,324,10.75,34.75,5.22,22,30.5,112,4.62,7.62,6,2,8,2,174,36.86847628,-0.023109756,5.200780521,5.454413716,9.5399788,13.64396968,-0.023816973,0.000707217
28,41436,174,270,4,2,12,3,0.591836735,0.275729265,Matt Paradis,CAR,C,75,300,9.88,32.375,5.34,23,26,102,4.46,7.6,4,2,12,3,294,-8.405300201,-0.013925926,5.440483919,4.216757791,8.6399808,9.95397788,-0.014617311,0.000691385
147,41295,205.5,237,11,5,15,2,0.842213115,0.278167749,Morgan Moses,NYJ,T,78,330,9.88,35.38,5.35,0,21.5,104,4.95,7.93,11,5,15,2,244,-12.4940524,-0.030295359,5.664656093,5.103098207,11.03397548,9.39597912,-0.030852489,0.00055713
38,45012,164,250,8,2,8,0,0.600732601,0.270168438,Chase Roullier,WAS,C,76,312,9.5,32.25,5.54,19,26.5,97,4.47,7.6,8,2,8,0,273,4.509450758,-0.016,5.295295928,4.553095943,10.47597672,13.19397068,-0.016332604,0.000332604
51,42883,176.5,263,9,3,7,0,0.617132867,0.257315638,David Andrews,NE,C,75,300,10,32.125,5.12,27,30,108,4.78,8.12,9,3,7,0,286,13.30431549,-0.017528517,5.517398088,4.065440676,10.349977,8.65798076,-0.017726201,0.000197684
133,46161,138,166,10,3,4,0,0.797687861,0.278329396,Chukwuma Okorafor,PIT,T,78,320,10.25,34.5,5.31,19,23.5,102,4.8,7.87,10,3,4,0,173,13.91099087,-0.027891566,5.04154966,4.814061712,8.94598012,8.06398208,-0.028047007,0.000155441
123,38642,241.5,275,11,4,14,5,0.827054795,0.278329396,Bobby Massie,DEN,T,78,325,9,35,5.18,22,27.5,103,4.95,7.7,11,4,14,5,292,51.75454788,-0.026490909,5.143473548,4.629581866,10.1699774,9.23397948,-0.026442228,-4.87E-05
33,43345,164,229,7,0,8,3,0.661290323,0.269975984,Cody Whitehair,CHI,G,75,309,10.13,32.38,5.02,16,25.5,110,4.58,7.32,7,0,8,3,248,-19.94965747,-0.015262009,5.570129713,4.087504719,9.2699794,13.08597092,-0.015212086,-4.99E-05
121,42445,207.5,243,9,6,11,1,0.826693227,0.050959515,Daryl Williams,BUF,T,78,330,9.75,35,5.34,27,26,97,5.15,8.18,9,6,11,1,251,58.17790035,-0.026296296,5.677325803,3.915517038,9.79197824,8.11798196,-0.026224738,-7.16E-05
6,53492,170,292,4,1,6,1,0.501474926,0.284962365,Creed Humphrey,KC,C,77,316,9.625,32.5,5.11,29,33,112,4.49,7.5,4,1,6,1,339,68.64830891,-0.008184932,6.413249116,3.386248527,10.36797696,11.84397368,-0.008090493,-9.44E-05
20,40070,150,226,6,1,4,1,0.602409639,0.275729265,J.C. Tretter,CLE,C,76,307,10.13,33.38,5.09,29,29.5,109,4.69,7.48,6,1,4,1,249,-10.72816707,-0.012433628,6.030170783,4.409924218,8.83798036,11.699974,-0.012075915,-0.000357713
101,40089,119.5,161,10,1,4,0,0.715568862,0.257315638,Oday Aboushi,LAC,G,77,315,10.63,33.78,5.45,17,23.5,100,4.84,7.92,10,1,4,0,167,29.34540392,-0.02378882,5.601584448,3.576826663,8.7299806,7.63198304,-0.02322359,-0.00056523
46,35472,138,198,6,1,7,2,0.663461538,0.257315638,Rodger Saffold,TEN,G,77,325,9.38,33.63,5.21,27,29.5,113,4.67,7.42,6,1,7,2,208,27.39852386,-0.016641414,5.258314583,3.265836274,9.97197784,7.88398248,-0.015863329,-0.000778085
81,53571,146,213,9,1,6,4,0.646017699,0.270168438,Royce Newman,GB,T,77,305,9,33.75,5.15,23,28,104,4.75,7.91,9,1,6,4,226,44.21459208,-0.021197183,5.725710429,3.688779011,9.57597872,10.9799756,-0.020402544,-0.000794639
136,46106,79.5,85,5,1,3,1,0.903409091,0.257315638,Braden Smith,IND,T,78,315,9.38,32.25,5.22,35,33.5,113,4.77,7.81,5,1,3,1,88,6.508777876,-0.028352941,5.478689839,4.655723125,9.16197964,7.8299826,-0.027431224,-0.000921717
108,29550,192,214,9,3,8,3,0.857142857,0.284962365,Jason Peters,CHI,T,76,328,9.38,33.13,4.99,21,29,115,4.75,7.7,9,3,8,3,224,-19.650039,-0.02478972,5.223062947,4.941366924,8.92798016,11.1599752,-0.023689285,-0.001100435
61,48159,156.5,231,10,0,11,1,0.631048387,0.278329396,Sam Mustipher,CHI,C,74,311,9,32.125,5.63,20,26.5,101,4.84,8.25,10,0,11,1,248,-19.94965747,-0.018593074,5.569863432,4.297929352,8.96398008,8.98198004,-0.017219363,-0.001373711
34,46108,157,225,5,1,14,1,0.633064516,0.257315638,James Daniels,CHI,G,75,305,9.5,33.75,0,21,30.5,108,4.4,7.29,5,1,14,1,248,-19.94965747,-0.015355556,5.413464749,3.932398328,8.89198024,11.89797356,-0.013960365,-0.001395191
60,43045,169,241,12,0,6,1,0.65503876,0.275729265,Quinton Spain,CIN,G,76,330,9.75,35,5.36,28,29,103,4.75,7.88,12,0,6,1,258,65.49632538,-0.018381743,4.991527996,3.481164885,8.87398028,11.84397368,-0.016682736,-0.001699007
164,52534,105.5,131,11,0,7,2,0.775735294,-0.799945302,Charlie Heck,HOU,T,80,315,10.25,34.13,5.16,21,28,112,4.86,8.02,11,0,7,2,136,-14.32490308,-0.033740458,5.028703248,5.011653301,10.11597752,10.0799776,-0.031887685,-0.001852773
115,43297,125,146,9,0,6,2,0.816993464,0.270168438,Jack Conklin,CLE,T,78,308,10.38,35,5,25,30,103,4.57,7.63,9,0,6,2,153,3.228587222,-0.025445205,6.404975915,5.116047243,9.449979,10.72797616,-0.023573695,-0.00187151
53,52600,129,179,5,1,9,2,0.651515152,0.257315638,Jon Runyan,GB,G,77,321,9.13,33.25,5.08,24,30.5,107,4.69,7.57,5,1,9,2,198,63.08355603,-0.017765363,5.91382146,3.622409306,9.39597912,9.34197924,-0.015636252,-0.002129111
130,38779,123,138,8,1,6,2,0.866197183,0.278329396,Kelvin Beachum,ARI,T,75,308,9.38,33.25,5.38,19,28.5,101,4.8,7.79,8,1,6,2,142,61.22124372,-0.027608696,5.430104861,4.628954897,9.1799796,9.50397888,-0.025274348,-0.002334348
45,43307,148,240,5,3,9,2,0.573643411,0.284962365,Ryan Kelly,IND,C,76,309,9.63,33.63,5.03,26,30,103,4.59,7.58,5,3,9,2,258,34.63348211,-0.016583333,5.372425323,3.949867416,8.44198124,8.40598132,-0.013962847,-0.002620486
150,53436,290,324,17,6,18,4,0.889570552,0.270168438,Penei Sewell,DET,T,78,325,10.375,33.25,5.1,30,28,109,4.68,7.76,17,6,18,4,326,-34.62128809,-0.031157407,4.810863405,4.708114538,10.85397588,11.4299746,-0.028309842,-0.002847565
163,38553,217.5,248,20,1,10,4,0.846303502,0.278167749,Riley Reiff,CIN,T,78,305,10.13,33.25,5.16,23,26.5,98,4.75,7.87,20,1,10,4,257,66.35089966,-0.033266129,5.207774544,4.536424578,10.04397768,11.0699754,-0.030376892,-0.002889237
124,43453,202,284,13,5,17,0,0.619631902,0.278167749,Halapoulivaati Vaitai,DET,G,78,320,10.63,34.25,5.26,23,29,113,5,8.26,13,5,17,0,326,-34.62128809,-0.026690141,4.911132488,3.96619147,9.16197964,15.49796556,-0.023798218,-0.002891923
55,38629,158.5,250,7,3,10,1,0.582720588,0.278329396,Ben Jones,TEN,C,75,308,9.63,32.5,5.35,29,30.5,105,4.74,7.95,7,3,10,1,272,32.03783016,-0.01794,5.19528101,4.226835625,9.5399788,12.07797316,-0.014928726,-0.003011274
126,47919,73.5,96,4,1,4,3,0.7,0.284962365,Michael Jordan,CAR,G,78,315,10,34.25,5.27,19,32.5,116,4.71,7.71,4,1,4,3,105,-19.9065782,-0.027083333,5.110192128,3.47765461,8.51398108,7.30798376,-0.024057355,-0.003025978
100,53442,240,266,14,2,9,2,0.875912409,0.270168438,Rashawn Slater,LAC,T,75,305,10.5,33,4.91,33,33,112,4.45,7.48,14,2,9,2,274,37.22416075,-0.023778195,5.582876091,4.649764892,9.59397868,12.58197204,-0.020693497,-0.003084698
43,40151,187.5,286,9,2,10,1,0.608766234,0.270168438,Ryan Jensen,TB,C,76,319,9.13,32.5,5.23,30,25.5,98,4.56,7.69,9,2,10,1,308,83.21187876,-0.016416084,5.579135848,3.801216464,9.52197884,11.10597532,-0.013167671,-0.003248413
159,47794,219.5,252,17,4,9,3,0.850775194,0.270168438,Jonah Williams,CIN,T,76,305,10.13,33.625,5.09,23,28,100,4.79,8.01,17,4,9,3,258,65.49632538,-0.032698413,4.717309835,4.931922185,10.76397608,9.30597932,-0.029432801,-0.003265612
165,48181,76,86,5,2,2,2,0.817204301,0.088942085,Yosuah Nijman,GB,T,79,314,10.13,34.125,4.88,27,30.5,114,4.5,8.07,5,2,2,2,93,23.22855064,-0.033895349,5.10637287,5.149695301,10.42197684,9.70197844,-0.03061376,-0.003281589
146,42367,205.5,229,15,1,14,3,0.874468085,0.257315638,D.J. Humphries,ARI,T,77,307,10,33.63,5.12,26,31,104,4.64,7.87,15,1,14,3,235,72.91055924,-0.030152838,5.908412621,4.812513691,10.38597692,11.93397348,-0.026758526,-0.003394312
